,hotel,price,score,review_number,predict
326,유 & 아이 게스트하우스,"₩35,622",4.5,71,0
327,골드원 호텔&스위트,"₩186,749",5.0,12,0
328,루체빌리조트,"₩47,822",4.0,13,0
329,호텔 윈 스카이,"₩54,594",4.0,12,0
330,백패커스홈,"₩40,500",4.5,66,0
331,보우 힐,"₩68,980",4.5,7,0
332,제주 아름다운 리조트,"₩47,378",4.0,19,0
333,베이스캠프 게스트하우스,"₩39,999",5.0,3,0
334,메모리아 리조트,"₩58,983",5.0,3,0
335,엠버리조트 제주,"₩199,500",5.0,51,0
336,뷰티크호텔빌라드애월,"₩91,681",4.0,49,0
337,오렌지트리 호텔,"₩45,301",4.0,41,0
338,성산 썬라이즈호텔,"₩62,257",4.0,16,0
339,라림 부띠끄 호텔,"₩86,321",4.0,19,0
340,엘루이 호텔,"₩42,372",4.0,22,0
341,소울펜션,"₩59,001",4.5,19,0
342,파밀리아 호텔 제주,"₩67,900",4.5,18,0
343,레브 호텔 제주,"₩62,532",4.0,23,0
344,통나무 파크,"₩84,033",4.0,5,0
345,그랜드메르 호텔 제주,"₩50,082",4.0,10,0
346,중문 통나무 펜션 & 리조트,"₩78,995",4.5,26,0
347,비케이 호텔 제주,"₩43,945",4.0,40,0
348,일레인 호텔,"₩50,249",4.0,13,0
349,호텔 W 신제주점,"₩65,000",4.0,63,0
350,대동호텔,"₩52,251",4.0,25,0
351,구덕게스트하우스,"₩37,780",3.5,73,0
352,티파니에서 아침을,"₩130,000",4.5,47,0
353,가산토방,"₩408,368",4.5,42,0
354,호텔가온제이스테이,"₩30,000",4.0,55,0
355,호텔위드제주,"₩51,740",3.5,20,0
356,제주스테이 호텔,"₩29,713",4.0,15,0
357,킴스 캐빈 게스트하우스,"₩49,999",4.5,7,0
358,비치 스토리 호텔,"₩45,000",4.0,18,0
359,숨 게스트하우스 제주 공항점,"₩14,524",4.5,45,0
360,캠퍼트리 호텔 & 리조트,"₩357,500",4.5,3,0
361,호텔 통 연동,"₩33,632",4.0,9,0
362,샨티샨티 게스트하우스,"₩55,000",5.0,15,0
363,라마다 프라자 제주,"₩128,470",4.0,775,1
364,랜딩관 제주신화월드 호텔 앤 리조트,"₩88,795",4.5,703,1
365,서머셋 제주신화월드,"₩239,360",5.0,820,1
366,메종 글래드 제주,"₩114,326",4.0,582,1
367,스위트 호텔 제주,"₩133,482",4.5,567,1
368,롯데 호텔 제주,"₩508,200",4.5,991,1
369,신화관 제주신화월드 호텔 앤 리조트,"₩209,440",4.5,675,1
370,메리어트관 제주신화월드 호텔 앤 리조트,"₩198,990",5.0,582,1
371,예하 게스트하우스,"₩54,000",4.5,545,1
372,제주신라호텔,"₩726,000",4.5,750,1
373,디셈버 호텔 제주,"₩50,000",4.5,276,2
374,베스트 웨스턴 제주 호텔,"₩63,501",4.5,383,2
375,호텔휘슬락,"₩57,490",4.5,284,2
376,제주 칼 호텔,"₩64,554",3.5,180,2
377,베니키아 중문 호텔,"₩64,364",4.5,318,2
378,라마다제주시티홀,"₩55,866",4.5,238,2
379,오션 스위츠 제주 호텔,"₩68,785",4.0,339,2
380,제주에코스위츠,"₩138,510",5.0,257,2
381,신라스테이 제주,"₩118,800",4.5,357,2
382,해비치 호텔 & 리조트 제주,"₩323,850",4.5,331,2
383,호스텔 린든,"₩57,778",4.5,184,2
384,롯데시티호텔 제주,"₩123,750",4.5,415,2
385,호텔 레오,"₩58,964",4.5,221,2
386,WE호텔 제주,"₩154,788",4.5,243,2
387,제주 오션 팰리스 호텔,"₩51,449",4.0,326,2
388,데이즈 호텔 제주 서귀포 오션,"₩40,500",4.5,274,2
